team,games_played,last_game_date
"Frisk Asker 1 (Frisk Asker, U9)",56,2027-03-13
"Frisk Asker 2 (Frisk Asker, U9)",56,2027-03-13
"Frisk Asker 3 (Frisk Asker, U9)",56,2027-03-13
"Frisk Asker 4 (Frisk Asker, U9)",56,2027-03-13
"Holmen Hockey Hvit (Holmen, U9)",56,2027-03-13
"Holmen Hockey Rød (Holmen, U9)",56,2027-02-27
"Holmen Hockey Sort (Holmen, U9)",56,2027-02-27
"Jar Blå (Jar, U9)",56,2027-02-27
"Jar Hvit (Jar, U9)",56,2027-02-27
"Jar Rød (Jar, U9)",56,2027-03-13
"Jutul Grønn (Jutul, U9)",56,2027-03-13
"Jutul Hvit (Jutul, U9)",56,2027-02-27
"Jutul Rød (Jutul, U9)",56,2027-03-13
"Kongsberg (Kongsberg, U9)",56,2027-02-20
"Ringerike 1 (Ringerike, U9)",56,2027-02-21
"Sandefjord (Sandefjord Penguins, U9)",56,2027-02-21
"Skien (Skien, U9)",56,2027-02-20
"Tønsberg (Tønsberg, U9)",56,2027-02-20
"Frisk Asker 1 (Frisk Asker, U11)",50,2027-03-07
"Frisk Asker 2 (Frisk Asker, U11)",50,2027-03-07
"Frisk Asker 4 (Frisk Asker, U11)",50,2027-03-06
"Holmen Hockey Hvit (Holmen, U11)",50,2027-02-27
"Holmen Hockey Rød (Holmen, U11)",50,2027-02-28
"Jutul Grønn (Jutul, U11)",50,2027-03-06
"Jutul Rød (Jutul, U11)",50,2027-02-28
"Kongsberg (Kongsberg, U11)",50,2027-03-06
"Ringerike 1 (Ringerike, U11)",50,2027-02-27
"Ringerike 2 (Ringerike, U11)",50,2027-02-21
"Sandefjord (Sandefjord Penguins, U11)",50,2027-03-06
"Skien (Skien, U11)",50,2027-02-21
"Tønsberg Grå (Tønsberg, U11)",50,2027-02-28
"Tønsberg Hvit (Tønsberg, U11)",50,2027-03-06
"Tønsberg Rød (Tønsberg, U11)",50,2027-02-27
"Frisk Asker 3 (Frisk Asker, U11)",45,2027-02-27
"Jar Blå (Jar, U11)",45,2027-03-06
"Jar Grønn (Jar, U11)",45,2027-03-07
"Jar Gul (Jar, U11)",45,2027-03-07
Jar Oransje,45,2027-03-07
"Jar Svart (Jar, U11)",45,2027-03-07
"Ringerike 1 (Ringerike, U8)",42,2027-02-14
"Skien (Skien, JU12)",42,2027-02-27
"Tønsberg (Tønsberg, U8)",42,2027-02-14
Jutul/Jar Kittens,41,2027-03-07
"Kongsberg (Kongsberg, U8)",41,2027-02-28
Kongsberg/Tønsberg,41,2027-02-27
"Ringerike 2 (Ringerike, U8)",41,2027-02-21
"Sandefjord (Sandefjord Penguins, U8)",41,2027-02-21
"Skien (Skien, U8)",41,2027-02-21
"Frisk Asker 1 (Frisk Asker, U8)",40,2027-03-13
"Frisk Asker 2 (Frisk Asker, U8)",40,2027-03-13
"Frisk Asker 5 (Frisk Asker, U8)",40,2027-03-13
"Holmen Hockey Blå (Holmen, U8)",40,2027-03-13
"Holmen Hockey Hvit (Holmen, U10)",40,2027-03-06
"Holmen Hockey Hvit (Holmen, U8)",40,2027-02-28
"Holmen Hockey Rød (Holmen, U10)",40,2027-02-21
"Holmen Hockey Rød (Holmen, U12)",40,2027-03-14
"Holmen Hockey Rød (Holmen, U8)",40,2027-03-13
"Jar Blå (Jar, U8)",40,2027-02-28
"Jar Hvit (Jar, U11)",40,2027-02-21
Jar Lilla,40,2027-02-20
"Jar Rød (Jar, U11)",40,2027-02-27
"Jar Rød (Jar, U8)",40,2027-02-28
"Jar Svart (Jar, U8)",40,2027-03-13
"Jutul Grønn (Jutul, U10)",40,2027-02-07
"Jutul Grønn (Jutul, U8)",40,2027-02-21
Jutul Gul,40,2027-02-28
"Jutul Hvit (Jutul, U10)",40,2027-02-20
"Jutul Hvit (Jutul, U8)",40,2027-02-14
"Jutul Rød (Jutul, U10)",40,2027-02-14
"Jutul Rød (Jutul, U8)",40,2027-03-13
"Kongsberg (Kongsberg, U10)",40,2027-02-14
"Ringerike 1 (Ringerike, U10)",40,2027-03-06
"Ringerike 2 (Ringerike, U10)",40,2027-02-27
"Ringerike 2 (Ringerike, U12)",40,2027-03-14
"Tønsberg (Tønsberg, U10)",40,2027-02-21
"Frisk Asker 1 (Frisk Asker, U10)",39,2027-03-06
"Frisk Asker 1 (Frisk Asker, U12)",39,2027-03-14
"Frisk Asker 2 (Frisk Asker, U10)",39,2027-03-13
"Frisk Asker 2 (Frisk Asker, U12)",39,2027-03-14
"Frisk Asker 3 (Frisk Asker, U10)",39,2027-03-13
"Frisk Asker 3 (Frisk Asker, U12)",39,2027-03-14
"Frisk Asker 3 (Frisk Asker, U8)",39,2027-02-28
"Frisk Asker 4 (Frisk Asker, U10)",39,2027-03-06
"Frisk Asker 4 (Frisk Asker, U8)",39,2027-02-28
"Holmen Hockey Blå (Holmen, U10)",39,2027-02-27
"Holmen Hockey Hvit (Holmen, U12)",39,2027-03-14
"Holmen Hockey Sort (Holmen, U10)",39,2027-03-07
"Holmen Hockey Sort (Holmen, U8)",39,2027-02-21
"Jar Blå (Jar, U10)",39,2027-03-06
"Jar Grønn (Jar, U10)",39,2027-03-07
"Jar Gul (Jar, U10)",39,2027-03-06
"Jar Hvit (Jar, U12)",39,2027-03-14
"Jar Hvit (Jar, U8)",39,2027-02-21
"Jar Rød (Jar, U12)",39,2027-03-14
"Jar Svart (Jar, U10)",39,2027-03-13
"Jutul Grønn (Jutul, U12)",39,2027-03-14
"Kongsberg (Kongsberg, U12)",39,2027-03-14
"Ringerike 1 (Ringerike, U12)",39,2027-03-14
Ringerike 3,39,2027-03-07
Ringerike 4,39,2027-02-21
"Tønsberg Grå (Tønsberg, U12)",39,2027-03-14
"Frisk Asker 5 (Frisk Asker, U10)",38,2027-03-07
Frisk Asker 6,38,2027-03-07
"Frisk Asker Orange (Frisk Asker, JU12)",38,2027-03-14
"Frisk Asker Svart (Frisk Asker, JU12)",38,2027-03-14
"Jar Blå (Jar, U12)",38,2027-03-13
"Jar Hvit (Jar, U10)",38,2027-03-13
"Jar Rød (Jar, U10)",38,2027-03-13
"Jar Svart (Jar, U12)",38,2027-03-14
"Jutul Rød (Jutul, U12)",38,2027-03-13
"Ringerike 1 (Ringerike, JU10)",38,2027-03-06
"Ringerike 1 (Ringerike, JU12)",38,2027-03-13
"Ringerike 2 (Ringerike, JU12)",38,2027-03-14
"Skien (Skien, JU10)",38,2027-03-06
"Tønsberg Hvit (Tønsberg, U12)",38,2027-03-13
"Tønsberg Rød (Tønsberg, U12)",38,2027-03-14
"Frisk Asker Orange (Frisk Asker, JU10)",37,2027-03-13
"Frisk Asker Svart (Frisk Asker, JU10)",37,2027-03-13
"Jar Blå (Jar, JU10)",35,2027-03-13
"Jar Hvit (Jar, JU10)",35,2027-03-13
"Jar Rød (Jar, JU10)",32,2027-03-13
Frisk Asker,24,2027-03-13
Jar,24,2027-03-13
Jutul Kittens,24,2027-03-13
"Ringerike 1 (Ringerike, JU8)",24,2027-03-13
"Skien (Skien, JU8)",24,2027-03-13
