team,games_played,last_game_date
"Frisk Asker 1 (Frisk Asker, U7)",42,2027-03-07
"Frisk Asker 1 (Frisk Asker, U8)",42,2027-03-13
"Frisk Asker 2 (Frisk Asker, U7)",42,2027-03-14
"Frisk Asker 3 (Frisk Asker, U7)",42,2027-03-14
"Frisk Asker 4 (Frisk Asker, U8)",42,2027-03-13
"Holmen Hockey Blå (Holmen, U8)",42,2027-03-06
"Holmen Hockey Hvit (Holmen, U7)",42,2027-03-14
"Holmen Hockey Rød (Holmen, U7)",42,2027-03-07
"Holmen Hockey Sort (Holmen, U7)",42,2027-03-14
"Holmen Hockey Sort (Holmen, U8)",42,2027-03-13
"Jar Blå (Jar, U7)",42,2027-03-07
"Jar Grønn (Jar, U7)",42,2027-03-07
"Jar Hvit (Jar, U7)",42,2027-03-07
"Jar Hvit (Jar, U8)",42,2027-03-13
"Jar Rød (Jar, U7)",42,2027-03-14
"Jar Svart (Jar, U7)",42,2027-03-14
"Jutul Grønn (Jutul, U7)",42,2027-03-14
"Jutul Grønn (Jutul, U8)",42,2027-03-13
"Jutul Hvit (Jutul, U7)",42,2027-03-07
"Jutul Hvit (Jutul, U8)",42,2027-03-13
"Jutul Rød (Jutul, U7)",42,2027-03-14
"Kongsberg (Kongsberg, U8)",42,2027-03-06
"Ringerike 1 (Ringerike, U8)",42,2027-03-06
"Ringerike 2 (Ringerike, U8)",42,2027-03-13
"Sandefjord (Sandefjord Penguins, U7)",42,2027-03-07
"Sandefjord (Sandefjord Penguins, U8)",42,2027-02-21
"Skien (Skien, U8)",42,2027-03-13
"Tønsberg (Tønsberg, U7)",42,2027-03-07
"Tønsberg (Tønsberg, U8)",42,2027-03-06
"Frisk Asker 2 (Frisk Asker, U8)",39,2027-03-14
"Frisk Asker 3 (Frisk Asker, U8)",39,2027-03-06
"Frisk Asker 5 (Frisk Asker, U8)",39,2027-03-14
"Holmen Hockey Hvit (Holmen, U8)",39,2027-02-21
"Holmen Hockey Rød (Holmen, U8)",39,2027-03-14
"Jar Blå (Jar, U8)",39,2027-03-14
"Jar Rød (Jar, U8)",39,2027-03-06
"Jar Svart (Jar, U8)",39,2027-03-06
Jutul Gul,39,2027-03-06
"Jutul Rød (Jutul, U8)",39,2027-03-14
Frisk Asker,24,2027-03-13
Jar,24,2027-03-13
Jutul Kittens,24,2027-03-13
"Ringerike 1 (Ringerike, JU8)",24,2027-03-13
"Skien (Skien, JU8)",24,2027-03-13
